id_token,token
presidente,15693
reúne,18187
palacio,14542
nacional,13540
gobernador,9490
puebla,16694
presidente reúne,16023
reúne palacio,18219
palacio nacional,14544
nacional gobernador,13611
gobernador puebla,9496
obras,14183
complementarias,4397
tramo,20133
tren,20290
maya,12346
superan,19514
60,561
ciento,4058
avance,2524
obras complementarias,14189
complementarias tramo,4398
tramo tren,20141
tren maya,20295
maya superan,12401
superan 60,19515
60 ciento,563
ciento avance,4063
fonatur,8871
semarnat,18953
rinden,18263
informe,10656
avances,2549
protección,16545
zonas,21223
arqueológicas,2059
áreas,21272
naturales,13729
fonatur semarnat,8873
semarnat rinden,18956
rinden informe,18264
informe avances,10661
avances protección,2578
protección zonas,16567
zonas arqueológicas,21227
arqueológicas áreas,2069
áreas naturales,21275
en,7445
ruta,18370
estudiantes,8165
niveles,13838
escolares,7860
acceden,770
becas,2959
secretaría,18695
bienestar,3107
en ruta,7487
ruta tren,18376
maya estudiantes,12371
estudiantes niveles,8172
niveles escolares,13839
escolares acceden,7861
acceden becas,772
becas secretaría,2971
secretaría bienestar,18696
caminos,3520
pavimentados,14723
comunicarán,4553
todas,19964
cabeceras,3431
municipales,13187
oaxaca,14050
caminos pavimentados,3529
pavimentados comunicarán,14724
comunicarán todas,4554
todas cabeceras,19966
cabeceras municipales,3432
municipales oaxaca,13189
oaxaca presidente,14066
carretera,3682
puerto,16776
escondido,7865
inaugurará,10444
julio,11349
anuncia,1689
carretera oaxaca,3690
oaxaca puerto,14070
puerto escondido,16779
escondido inaugurará,7866
inaugurará julio,10448
julio anuncia,11354
anuncia presidente,1758
reafirma,16969
compromiso,4472
heredar,9899
sistema,19182
salud,18482
calidad,3457
méxico,13269
llama,11769
jubilados,11312
participar,14642
presidente reafirma,15989
reafirma compromiso,16972
compromiso heredar,4500
heredar sistema,9900
sistema salud,19196
salud calidad,18497
calidad méxico,3460
méxico llama,13426
llama jubilados,11818
jubilados participar,11315
supervisa,19528
autopista,2448
istmo,11210
tehuantepec,19726
presidente supervisa,16042
supervisa autopista,19533
autopista oaxaca,2454
oaxaca istmo,14063
istmo tehuantepec,11212
plan,15142
imss,10370
opera,14351
20,250
estados,8050
trabaja,20020
alcanzar,1376
cobertura,4221
plan salud,15173
salud imss,18516
imss bienestar,10372
bienestar opera,3201
opera 20,14352
20 estados,253
estados trabaja,8059
trabaja alcanzar,20021
alcanzar cobertura,1379
cobertura nacional,4227
nacional presidente,13645
antes,1657
terminar,19808
administración,1052
gratuito,9665
todos,19973
afirma,1189
zacatecas,21181
antes terminar,1658
terminar administración,19809
administración sistema,1062
calidad gratuito,3459
gratuito todos,9666
todos afirma,19974
afirma presidente,1193
presidente zacatecas,16062
gobierno,9521
procura,16320
crecimiento,5516
justo,11404
país,14750
gobierno méxico,9573
méxico procura,13457
procura crecimiento,16323
crecimiento justo,5524
justo país,11406
país afirma,14752
abasto,681
agua,1264
zona,21217
conurbada,5274
san,18579
luis,12018
potosí,15446
garantizado,9275
abasto agua,683
agua zona,1291
zona conurbada,21219
conurbada san,5275
san luis,18591
luis potosí,12021
potosí garantizado,15447
garantizado afirma,9276
recibe,17089
visita,20956
jeremy,11271
corbyn,5404
presidente recibe,15993
recibe visita,17117
visita jeremy,20972
jeremy corbyn,11272
corbyn palacio,5405
nuevo,14000
laredo,11556
sede,18744
aduana,1096
nuevo laredo,14014
laredo sede,11557
sede aduana,18745
aduana nacional,1097
nacional anuncia,13555
países,14794
atenderán,2280
tráfico,20357
drogas,6892
control,5249
armas,2046
partir,14675
cooperación,5346
sometimiento,19354
países atenderán,14797
atenderán tráfico,2283
tráfico drogas,20361
drogas control,6894
control armas,5250
armas partir,2050
partir cooperación,14676
cooperación sometimiento,5362
sometimiento afirma,19355
departamento,6146
justicia,11372
unidos,20461
devolverá,6517
mil,12871
millones,12932
pesos,15037
desviados,6461
exfuncionario,8281
coahuila,4200
departamento justicia,6147
justicia estados,11382
estados unidos,8060
unidos devolverá,20478
devolverá mil,6518
mil millones,12900
millones pesos,12944
pesos desviados,15043
desviados exfuncionario,6462
exfuncionario coahuila,8282
covid,5479
19,141
registra,17562
14,79
semanas,18939
reducción,17372
estable,7997
covid 19,5480
19 registra,209
registra 14,17563
14 semanas,82
semanas reducción,18943
reducción estable,17381
estable méxico,8000
rehabilitación,17636
quirófanos,16912
aumenta,2366
número,14042
cirugías,4111
once,14325
rehabilitación quirófanos,17648
quirófanos aumenta,16913
aumenta número,2370
número cirugías,14049
cirugías once,4112
once plan,14327
presenta,15563
segmento,18762
informativo,10654
prevención,16118
adicciones,1044
alertan,1397
daños,5859
fentanilo,8672
secretaría salud,18701
salud presenta,18525
presenta segmento,15590
segmento informativo,18763
informativo prevención,10655
prevención adicciones,16119
adicciones alertan,1045
alertan daños,1398
daños fentanilo,5865
padre,14509
solalinde,19300
tratar,20266
migración,12814
nacional padre,13638
padre solalinde,14511
solalinde tratar,19301
tratar migración,20268
gabinete,9208
seguridad,18810
dialogará,6561
gabinete seguridad,9216
seguridad dialogará,18834
dialogará estados,6563
unidos fentanilo,20482
fentanilo armas,8673
armas presidente,2053
privilegia,16294
cuidado,5639
ambiente,1486
yucatán,21163
quintana,16903
roo,18312
maya privilegia,12391
privilegia cuidado,16295
cuidado ambiente,5642
ambiente yucatán,1496
yucatán quintana,21175
quintana roo,16904
terminados,19801
200,258
kilómetros,11452
vía,21083
doble,6824
electrificada,7237
avanza,2595
ejecución,7113
proyectos,16641
estratégicos,8148
cancún,3605
terminados 200,19802
200 kilómetros,263
kilómetros vía,11456
vía doble,21084
doble electrificada,6825
electrificada tramo,7238
maya avanza,12354
avanza ejecución,2616
ejecución proyectos,7114
proyectos estratégicos,16650
estratégicos cancún,8149
conferencias,4740
matutinas,12343
continuarán,5149
derecho,6171
informados,10642
asegura,2136
conferencias matutinas,4741
matutinas continuarán,12344
continuarán afirma,5151
presidente todos,16048
todos derecho,19977
derecho informados,6177
informados asegura,10643
encabeza,7500
primera,16182
sesión,19037
virtual,20947
alianza,1411
américa,1589
latina,11568
caribe,3668
contra,5190
inflación,10605
presidente encabeza,15830
encabeza primera,7514
primera sesión,16196
sesión virtual,19039
virtual alianza,20948
alianza países,1418
países américa,14796
américa latina,1592
latina caribe,11569
caribe contra,3670
contra inflación,5191
construye,5048
soluciones,19342
favor,8519
pueblos,16753
inflación construye,10612
construye soluciones,5051
soluciones favor,19345
favor pueblos,8530
compra,4410
13,72
plantas,15190
generación,9397
energía,7569
iberdrola,10176
generará,9430
precios,15466
justos,11408
consumidores,5076
compra 13,4411
13 plantas,75
plantas generación,15194
generación energía,9400
energía iberdrola,7578
iberdrola generará,10178
generará precios,9435
precios justos,15477
justos consumidores,11411
consumidores afirma,5077
encabezará,7518
reunión,18122
líderes,12057
latinoamérica,11575
enfrentar,7609
juntos,11361
carestía,3656
baja,2804
