id_documento,titulo,fecha
0,Presidente se reúne en Palacio Nacional con gobernador de Puebla,17.04.2023
1,Obras complementarias en tramo 1 del Tren Maya superan 60 por ciento de avance,17.04.2023
2,Fonatur y Semarnat rinden informe de avances en protección de zonas arqueológicas y áreas naturales,17.04.2023
3,En ruta del Tren Maya, estudiantes de todos los niveles escolares acceden a becas: Secretaría de Bienestar,17.04.2023
4,Caminos pavimentados comunicarán todas las cabeceras municipales de Oaxaca: presidente,17.04.2023
5,Carretera Oaxaca-Puerto Escondido se inaugurará en julio, anuncia presidente,17.04.2023
6,Presidente reafirma compromiso de heredar sistema de salud de calidad en México; llama a jubilados a participar,17.04.2023
7,Presidente supervisa autopista de Oaxaca al Istmo de Tehuantepec,17.04.2023
8,Plan de Salud IMSS Bienestar opera en 20 estados; se trabaja para alcanzar cobertura nacional: presidente,17.04.2023
9,Antes de terminar administración, sistema de salud será de calidad y gratuito para todos, afirma presidente en Zacatecas,17.04.2023
10,Gobierno de México procura crecimiento justo en todo el país, afirma presidente,14.04.2023
11,Abasto de agua en zona conurbada de San Luis Potosí está garantizado, afirma presidente,14.04.2023
12,Presidente recibe visita de Jeremy Corbyn en Palacio Nacional,14.04.2023
13,Nuevo Laredo será sede de la Aduana Nacional, anuncia presidente,14.04.2023
14,Países atenderán tráfico de drogas y control de armas a partir de cooperación, no del sometimiento, afirma presidente,14.04.2023
15,Departamento de Justicia de Estados Unidos devolverá 4.8 mil millones de pesos desviados por exfuncionario de Coahuila,14.04.2023
16,COVID-19 registra 14 semanas de reducción estable en México,14.04.2023
17,Rehabilitación de quirófanos aumenta número de cirugías en once estados por Plan de Salud IMSS Bienestar,14.04.2023
18,Secretaría de Salud presenta segmento informativo de prevención de adicciones; alertan sobre daños por fentanilo,14.04.2023
19,Presidente se reúne en Palacio Nacional con el padre Solalinde para tratar migración,14.04.2023
20,Gabinete de Seguridad dialogará en Estados Unidos sobre fentanilo y armas: presidente,10.04.2023
21,Tramo 4 del Tren Maya privilegia cuidado del ambiente de Yucatán y Quintana Roo,10.04.2023
22,Terminados, 200 kilómetros de vía doble electrificada en tramo 4 del Tren Maya; avanza ejecución de proyectos estratégicos en Cancún,10.04.2023
23,Conferencias matutinas continuarán, afirma presidente; “todos tenemos derecho a estar informados”, asegura,10.04.2023
24,Presidente encabeza primera sesión virtual de la Alianza de Países de América Latina y el Caribe Contra la Inflación,10.04.2023
25,Alianza de Países de América Latina y el Caribe Contra la Inflación construye soluciones a favor de los pueblos,10.04.2023
26,Compra de 13 plantas de generación de energía a Iberdrola generará precios justos a consumidores, afirma presidente,10.04.2023
27,Presidente encabezará reunión virtual con líderes de Latinoamérica para enfrentar juntos carestía; baja la inflación en México,10.04.2023
28,Más de un millón de familias convierten a pesos su crédito Infonavit; Fovissste ofrece soluciones en vivienda a derechohabientes,10.04.2023
29,Presidente anuncia compra de plantas de generación de energía eléctrica a Iberdrola; crece patrimonio y autosuficiencia energética,10.04.2023
30,San Luis Potosí y Tlaxcala se integran al Programa de regularización de vehículos de procedencia extranjera,04.04.2023
31,Presidente fomenta cooperación internacional para acabar con pandemia del fentanilo,04.04.2023
32,Sin daños por sismo de 5.5 en Oaxaca: presidente,04.04.2023
33,Presidente recibe en Palacio Nacional a Mariano Rivera, leyenda del béisbol,04.04.2023
34,Gobierno de México reconoce a gasolineras y tienda de autoservicio por procurar precios en beneficio del pueblo,04.04.2023
35,INAH protege sitios arqueológicos de Ruta Puuc en tramo 3 del Tren Maya,04.04.2023
36,CFE avanza en consolidación de proyectos de electrificación en ruta del Tren Maya,04.04.2023
37,Presidente concluye reuniones estatales del Banco del Bienestar en todo el país,04.04.2023
38,Presidente destaca cumplimiento de compromisos de infraestructura en Nayarit; SICT concluye carretera Tepic-Guadalupe Ocotán,04.04.2023
39,Presidente supervisa atención médica a migrantes víctimas de incendio en Chihuahua,04.04.2023
40,Presidente anuncia creación de consejo para proteger migrantes y reforma al Instituto Nacional de Migración,31.03.2023
41,Presidente garantiza atención médica a migrantes heridos en incendio de albergue en Chihuahua,31.03.2023
42,México tiene estabilidad financiera y política: presidente,31.03.2023
43,Presidente se reúne con campeona mexicana de artes marciales mixtas, Alexa Grasso,31.03.2023
44,Presidente participa en Cumbre por la Democracia 2023; llama a que sea verdadera y triunfe sobre el poder,31.03.2023
45,Familias mexicanas son atendidas con Programas para el Bienestar, destaca presidente,31.03.2023
46,Presidente envía condolencias a familiares de víctimas en Chihuahua; garantiza investigación a fondo del incendio en albergue de migrantes,31.03.2023
47,Aumenta cobertura de médicos especialistas y abasto de medicamentos en estados incorporados al Plan de Salud IMSS Bienestar,31.03.2023
48,México recupera 43 piezas arqueológicas devueltas por Italia; alertan sobre próxima subasta del patrimonio cultural en Francia,31.03.2023
49,Presidente lamenta fallecimiento de migrantes en albergue de Ciudad Juárez; Gobierno de México atiende caso,31.03.2023
50,Presidente comparte carta que Pedro Castillo le envió desde prisión en Perú,27.03.2023
